trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
773,False,"{'a': 0.5, 'e': 0.9262340515312741}",25,0,-183.66418754610729,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
774,False,"{'a': 0.5, 'e': 0.9260454613041876}",20,0,-182.9603519801388,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
775,False,"{'a': 0.5, 'e': 0.9258566395657406}",25,0,-118.70884990936457,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
776,False,"{'a': 0.5, 'e': 0.9256675863631385}",30,13,-57.542865325283145,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
777,False,"{'a': 0.5, 'e': 0.9254783017436445}",20,0,-114.92816962626665,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
778,False,"{'a': 0.5, 'e': 0.9252887857545801}",25,0,-61.09435731056143,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
779,False,"{'a': 0.5, 'e': 0.925099038443324}",25,0,-145.4398113888284,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
780,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,3,-10.962194957738612,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.924718850044042}",25,0,-40.48311680369281,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
782,False,"{'a': 0.5, 'e': 0.9245284090510633}",20,0,-185.60102256720745,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
783,False,"{'a': 0.5, 'e': 0.924337736925987}",20,0,-50.53821888986307,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
784,False,"{'a': 0.5, 'e': 0.9241468337164814}",25,0,-101.6152902151705,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
785,False,"{'a': 0.5, 'e': 0.9239556994702721}",20,0,-17.943781913881107,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
786,False,"{'a': 0.5, 'e': 0.9237643342351428}",25,0,-71.85295926569125,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
787,False,"{'a': 0.5, 'e': 0.9235727380589348}",20,0,-37.734514761293106,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
788,False,"{'a': 0.5, 'e': 0.9233809109895471}",20,0,-73.96981590450469,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
789,False,"{'a': 0.5, 'e': 0.9231888530749364}",30,0,-61.21254000772926,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
790,False,"{'a': 0.5, 'e': 0.9229965643631173}",25,0,-61.883290972738656,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
791,False,"{'a': 0.5, 'e': 0.9228040449021618}",30,0,-161.16106864021233,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
792,False,"{'a': 0.5, 'e': 0.9226112947402}",25,0,-131.8643480951583,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",1
793,False,"{'a': 0.5, 'e': 0.9224183139254193}",25,1,-28.01300041289758,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
794,False,"{'a': 0.5, 'e': 0.9222251025060648}",20,0,-60.23366343573841,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
795,False,"{'a': 0.5, 'e': 0.9220316605304396}",20,3,-82.60061176406906,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 1}",1
796,False,"{'a': 0.5, 'e': 0.9218379880469041}",20,0,-113.31521529646612,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
797,False,"{'a': 0.5, 'e': 0.9216440851038763}",20,0,-121.01468298351318,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
798,False,"{'a': 0.5, 'e': 0.921449951749832}",20,0,-58.84775083318324,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
